prod_brand,prod_name,prod_desc,prod_category,prod_variant,prod_unit_size,prod_package_size,prod_weight,prod_cost,prod_ingredients,prod_exp_date,prod_price,prod_discount_percent,prod_qty,prod_img,prod_sku,prod_barcode,supplier,is_active
Girasol,Chamomite Oil,"This herbal body oil is formulating with the moisturizing, calming and
soothing properties. It is easily penetrating into the skin, provides superior
moisturization and emolliency to skin, leaving it smooth and hydrated. It
also alleviates muscle pain, back pain and improve skin irritation. Your skin

will become calming, revitalizing and healthy looking.
?????????,???????????????????,
?????????????,?????????????
????,????,???????????????

????,??????",Essential Oil,,100ml,,,,"Capsicum Frutescens Fruit Extract
Pungent effect. Capsicum also can help increase blood circulation to remove released
toxins.
????,???,(??)??????????????????,?????
?????????

Anthemis Nobilis Flower Oil (Chamomile)
Calming anxious and stress; relaxing; helps to reduce insomnia, premenstrual syndrome;
arthritis; eczema; ringworm disease, increase skin elasticity; reduce swelling; anti
inflammatory.
???????;??;???????,?????;???;??;??;?
?????;????,???

Helianthus Annuus (Sunflower) Seed Oil
Very high in essential fatty acids and also rich in both Vitamin A and Vitamin E. It helps
to moisturize, regenerate and condition the skin.
???????????,?????? A ???? E,??????????
???",,220,,5,,,,,
Girasol,Bust Firming & Enchancer Oil,"It is designed to improve the contours, tone and firmness of the bust area and
show the figure they desire. It nourishing skin and making skin soft, smooth
& leaves it looking plumper, firmer and feel gently lifted. It also provides a
long-lasting moisturizing effect, soothing and calming effect.
Confers a pleasant and fresh feeling to the skin.

??????????????????????????????
????????,????????,???????????
?,????????????????????????,???

???????????????????",Essential Oil,,100ml,,,,"Pelargonium Graveolens Flower Oil (Geranium)
Emotionally uplifting, harmonizing, balancing, soothing, calming. It relieves post natal
depression and menopause problems. Used in treating acne, dermatitis and eczema.
Suitable for all skin types especially mature, inflamed and oily skin.
????????,?????????????????,?????????
????,?????????,?????????????,?[??]???
?????????

Foeniculum Vulgare (Fennel) Oil
It is antiseptic, good for dull, mature and wrinkles skin.
?????,?????????????

Citrus Aurantium Dulcis (Orange) Oil
It is used in skin care for its rejuvenation properties on dull skin and wrinkles as well as
on oily skin. Orange essential oil is antiseptic and can be used for disinfection. It is
refreshing and can be inhaled for nervous tension and stress.
????,?????,?????????????????????????
?????????? ??????,????,?????????????
??????????,?????

Cananga Odorata Flower Oil (Ylang Ylang)
It normalizes sebum production of all skin types as well as a hormone balancer to
encourage firmer and plumper breast.
????,??????,???? ,??????,??????????

Salvia Sclarea (Clary) Oil
Clary sage is calming to the nervous system, particularly in cases of depression, stress,
insomnia and deep seated tension. It furthermore is a good tonic for the womb and female
functions in general, such as painful periods, scanty menstruation and relaxation during
labor, thus encouraging a less painful birth.
???????????,???????,????,??????????
????,????????????,???????,??????????
???????????,???????

Citrus Medica Limonum (Lemon) Peel Oil
It has the wonderful characteristic scent of freshly peeled lemon rind. When used in
cellulite treatments, it acts as a depurative and lymphatic stimulant, draining tissues of
excess fluids and toxins. When added to skin care and cosmetic treatments, use is made
of its anti-bacterial, astringent and cell-regenerative properties.
???????????????????????,???????????
?,?????????????????????????????,????
????????????

Helianthus Annuus (Sunflower) Seed Oil
Very high in essential fatty acids and also rich in both Vitamin A and Vitamin E. It helps
to moisturize, regenerate and condition the skin.
???????????,?????? A ???? E,??????????
???",,352,,5,,,,,
Girasol,Body Sculptor Oil,"Formulated to helps refine and reshape body silhouette. It smoothes skin and
aid in the release of accumulated fluids. It quickly absorbed, while essential
oil of lemon refines your body's skin texture against cellulite and unevenness.
It also provides astringent, emollient, soothing and calming effect. Leaves

skin immediately firmer & sharper.

??????????????????????????????
?????????,????????????????????
??????????????,??,????????????

??????????",Essential Oil,,100ml,,,,"Cymbopogon Flexuosus Oil (Lemongrass)
Helps relieve depression, nervous exhaustion, tension, stress, muscular pains, insect bites
and insect repelling. It open pores, suitable oily, acne and poor tone skin.
???????,????,??????, ?????????????,?
?????,???????, ???????

Citrus Paradisi (Grapefruit) Peel Oil
Anti cellulite, circulatory stimulant and detoxify.
?????,????????????
It is uplifting and refreshing. It regulates sebum, for congested and oily skin.
????????????????,?????????

Lavandula Angustifolia (Lavender) Oil
It is a popular and versatile essential oil. Lavender oil is highly regarded for its relaxing
effect on the nervous system, with an overall balancing effect on the mind and emotion. It
is used as a healing substance for wounds and burns. It is antiseptic, antibacterial and
anti-fungal. It also helps to reduce discoloration. It is also good for digestive system, the
respiratory tract and skin problems.
????????????????????????????????,???
????????????????????????????????????
???????????????????????????????????
As was believed in Ancient times, lavender is above all a calmative, anti-spasmodic
remedy. Lavender’s antiseptic qualities have been put to good use in surgery where it has
been used to heal various types of necrosis (infected wounds, ulcerated burn, etc).????,???????????,???????????????????
???????(????,????)?
Used externally, lavender flower-based preparations are suitable for cleaning wounds and
sores, are antalgic in mouth infections and are calmative and refreshing on sun burns.
??,??????????????,???????????,??????
?????????

Citrus Medica Limonum (Lemon) Peel Oil
It has the wonderful characteristic scent of freshly peeled lemon rind. When used in
cellulite treatments, it acts as a depurative and lymphatic stimulant, draining tissues of
excess fluids and toxins. When added to skin care and cosmetic treatments, use is made
of its anti-bacterial, astringent and cell-regenerative properties.
???????????????????????,???????????
?,?????????????????????????????,????
????????????

Juniperus Communis Fruit Oil (Juniper Berry)
Draining tissues of excess fluids, improve poor circulation. Used for skin tonic, cleanser,
acne, eczema, oily skin.
????????????,????????????????????, ??
???????????????????????????

Foeniculum Vulgare (Fennel) Oil
Antiseptic, good for dull, mature and wrinkles skin, improve eye circle, relieve itching,
healing.
??????????????????,??,?????

Pelargonium Graveolens Flower Oil (Geranium)
Emotionally uplifting, harmonizing, balancing, soothing, calming. It relieves post natal
depression and menopause problems. Used in treating acne, dermatitis and eczema.
Suitable for all skin types especially mature, inflamed and oily skin.
????????,?????????????????,?????????
????,?????????,?????????????,?[??]???
?????????

Helianthus Annuus (Sunflower) Seed Oil
Very high in essential fatty acids and also rich in both Vitamin A and Vitamin E. It helps
to moisturize, regenerate and condition the skin.???????????,?????? A ???? E,??????????
???",,352,,5,,,,,
Girasol,Anti Cellulite Oil,"It is designed to help reduce fatty tissue and ridding tissues of excess fluids
and toxins. It improves skin tone and appearance and visibly improves the
skin's texture and smoothness. Leave you have your desired figure and keeps

skin soft, smooth and moisturized.

??????????????????????????????
????, ???????????????????????,?

???????,??????",Essential Oil,,100ml,,,,"Citrus Medica Limonum (Lemon) Peel Oil
It has the wonderful characteristic scent of freshly peeled lemon rind. When used in
cellulite treatments, it acts as a depurative and lymphatic stimulant, draining tissues of
excess fluids and toxins. When added to skin care and cosmetic treatments, use is made
of its anti-bacterial, astringent and cell-regenerative properties.
???????????????????????,???????????
?,?????????????????????????????,????
????????????

Juniperus Communis Fruit Oil (Juniper Berry)
Draining tissues of excess fluids, improve poor circulation. Used for skin tonic, cleanser,
acne, eczema, oily skin.
????????????,????????????????????, ??
???????????????????????????

Cupressus Sempervirens Leaf Oil (Cypress)
Excellent at ridding skin and tissues excess fluids and toxins. It stimulates circulation and
is suitable for dry skin.
????????????????,???????
Fresh, sweet balsamic-scented oil reminiscent of pine needles. It is an astringent, diuretic,
vasoconstrictor, and skin tonic, and is therefore excellent at ridding skin and tissues of
excess fluids and toxins. It stimulates circulation, and helps treat varicose veins, cellulite
and water retention. Overall, it is warming and toning to the skin and body.
????????????????????????????????????
????,???????????????????????????????
???,???????????????????????,????????
???????

Rosmarinus Officinalis (Rosemary) Leaf Oil
It has antiseptic properties and a strong aroma that is balancing, invigorating and
revitalizing. Therefore, it is effective for mental fatigue, circulation problems, pain relief
for the muscular system, decongests the respiratory tract and is a skin and hair booster. It
also has healing, astringent and antiseptic qualities and is a scalp and skin stimulant: it
activates peripheral blood circulation and stimulates cutaneous metabolism.
??????????????????????????,?????????
????????????????????,???????????????
???,???????,???????????:????????,???
???????

Helianthus Annuus (Sunflower) Seed Oil
Very high in essential fatty acids and also rich in both Vitamin A and Vitamin E. It helps
to moisturize, regenerate and condition the skin.
???????????,?????? A ???? E,??????????
???",,308,,5,,,,,
Girasol,Relaxing Oil,"This body oil clears your thinking, reduces worry & balances emotions. It
restores essential moisture balance to soften your skin and protect skin
against sensitivity symptoms such as itches, dermatitis, eczema, etc. Your
skin feels smooth and soft, while your mind is calm and relaxed.
????????,?????????????????????
??????????????????????,???,??,
????????????????,????????????

??",Essential Oil,,100ml,,,,"Lavandula Angustifolia (Lavender) Oil
It is a popular and versatile essential oil. Lavender oil is highly regarded for its relaxing
effect on the nervous system, with an overall balancing effect on the mind and emotion. It
is used as a healing substance for wounds and burns. It is antiseptic, antibacterial and
anti-fungal. It also helps to reduce discoloration. It is also good for digestive system, the
respiratory tract and skin problems.
????????????????????????????????,???
????????????????????????????????????
???????????????????????????????????
As was believed in Ancient times, lavender is above all a calmative, anti-spasmodic
remedy. Lavender’s antiseptic qualities have been put to good use in surgery where it has
been used to heal various types of necrosis (infected wounds, ulcerated burn, etc).
????,???????????,???????????????????
???????(????,????)?
Used externally, lavender flower-based preparations are suitable for cleaning wounds and
sores, are antalgic in mouth infections and are calmative and refreshing on sun burns.
??,??????????????,???????????,??????
?????????

Citrus Aurantium Dulcis (Orange) Oil
It is used in skin care for its rejuvenation properties on dull skin and wrinkles as well as
on oily skin. Orange essential oil is antiseptic and can be used for disinfection. It is
refreshing and can be inhaled for nervous tension and stress.

????,?????,?????????????????????????
?????????? ??????,????,?????????????
??????????,?????

Pogostemon Cablin Oil (Patchouli)
When inhaled, it is anti-depressive, aphrodisiac and mildly calming. In skin care,

Patchouli shows its strong side as a potent anti-inflammatory, anti-bacterial and anti-
fungal agent. It supports the regeneration of new cells and tissues. It is excellent for dry,

aging, wrinkled skin and for the treatment of acne, psoriasis, burn and wounds.
??,??,????????,?????????,?????????,?
??????????????????????,??????

Eucalyptus Globulus Leaf Oil
It speeds up the healing of wounds and ulcers, calms skin eruption and clears congested
pores. It is also antiseptic and anti-inflammatory to all skin types.
????????????,??????????????????????
?,?????????

Juniperus Virginiana Oil (Cedarwood)
It benefits the skin by its sedating ability which relieves itching. Its astringent action is
great for acne, oily skin, as well as for hair and dandruff. It has a calming and soothing
effect on the mind and is of great help in conditions associated with anxiety and nervous
tension. It is also of value in cases of arthritis and rheumatism.
?????????????,????????????????????,?
???,???????????????????????,????????
???????????????????????????????????

Pelargonium Graveolens Flower Oil (Geranium)
Emotionally uplifting, harmonizing, balancing, soothing, calming. It relieves post natal
depression and menopause problems. Used in treating acne, dermatitis and eczema.
Suitable for all skin types especially mature, inflamed and oily skin.
????????,?????????????????,?????????
????,?????????,?????????????,?[??]???
?????????

Helianthus Annuus (Sunflower) Seed Oil
Very high in essential fatty acids and also rich in both Vitamin A and Vitamin E. It helps
to moisturize, regenerate and condition the skin.
???????????,?????? A ???? E,??????????
???",,308,,5,,,,,
Girasol,Revival Body Oil,"A light, refreshing body oil is formulated to ridding tissues of excess fluids,
toxins and water retention from body. It wills improves penetration of the
essential oil into the skin and promote circulation as well. It also soothes and
calms skin, giving you a soft and silky smooth complexion.
??,??????????????,???????????
??????????????????????????????

??,????????????",Essential Oil,,100ml,,,,"Juniperus Virginiana Oil (Cedarwood)
It benefits the skin by its sedating ability which relieves itching. Its astringent action is
great for acne, oily skin, as well as for hair and dandruff. It has a calming and soothing
effect on the mind and is of great help in conditions associated with anxiety and nervous
tension. It is also of value in cases of arthritis and rheumatism.
?????????????,????????????????????,?
???,???????????????????????,????????
???????????????????????????????????

Citrus Aurantium Dulcis (Orange) Oil
It is used in skin care for its rejuvenation properties on dull skin and wrinkles as well as
on oily skin. Orange essential oil is antiseptic and can be used for disinfection. It is
refreshing and can be inhaled for nervous tension and stress.
????,?????,?????????????????????????
?????????? ??????,????,?????????????
??????????,?????

Citrus Medica Limonum (Lemon) Peel Oil
It has the wonderful characteristic scent of freshly peeled lemon rind. When used in
cellulite treatments, it acts as a depurative and lymphatic stimulant, draining tissues of
excess fluids and toxins. When added to skin care and cosmetic treatments, use is made
of its anti-bacterial, astringent and cell-regenerative properties.
???????????????????????,???????????
?,?????????????????????????????,????
????????????

Lavandula Angustifolia (Lavender) Oil
It is a popular and versatile essential oil. Lavender oil is highly regarded for its relaxing
effect on the nervous system, with an overall balancing effect on the mind and emotion. It
is used as a healing substance for wounds and burns. It is antiseptic, antibacterial and
anti-fungal. It also helps to reduce discoloration. It is also good for digestive system, the
respiratory tract and skin problems.
????????????????????????????????,???
????????????????????????????????????
???????????????????????????????????
As was believed in Ancient times, lavender is above all a calmative, anti-spasmodic
remedy. Lavender’s antiseptic qualities have been put to good use in surgery where it has
been used to heal various types of necrosis (infected wounds, ulcerated burn, etc).
????,???????????,???????????????????
???????(????,????)?
Used externally, lavender flower-based preparations are suitable for cleaning wounds and
sores, are antalgic in mouth infections and are calmative and refreshing on sun burns.
??,??????????????,???????????,??????
?????????

Rosmarinus Officinalis (Rosemary) Leaf Oil
It has antiseptic properties and a strong aroma that is balancing, invigorating and
revitalizing. Therefore, it is effective for mental fatigue, circulation problems, pain relief
for the muscular system, decongests the respiratory tract and is a skin and hair booster. It
also has healing, astringent and antiseptic qualities and is a scalp and skin stimulant: it
activates peripheral blood circulation and stimulates cutaneous metabolism.
??????????????????????????,?????????
????????????????????,???????????????
???,???????,???????????:????????,???
???????

Pogostemon Cablin Oil (Patchouli)
When inhaled, it is anti-depressive, aphrodisiac and mildly calming. In skin care,

Patchouli shows its strong side as a potent anti-inflammatory, anti-bacterial and anti-
fungal agent. It supports the regeneration of new cells and tissues. It is excellent for dry,

aging, wrinkled skin and for the treatment of acne, psoriasis, burn and wounds.
??,??,????????,?????????,?????????,?
??????????????????????,??????",,308,,5,,,,,
Girasol,Perfect Cleansing Aqua,,Cleanser,,110ml,,,,,,108,,5,,,,,
Girasol,Soothing Milk,"This smooth feeling cleansing milk removes effectively dirt, impurities &
makeup. It calms and hydrates, alleviating dryness and leaving the
complexion feeling smooth. Gives your skin a comfortable cleanse and a
clean and soft complexion.

?????????????????????????????,
????,????????????????????,????

???????",Cleanser,,150ml,,,,"Helianthus Annuss (Sunflower) Seed Oil
Very high in essential fatty acids and also rich in both Vitamin A and Vitamin E. It helps
to moisturize, regenerate and condition the skin.
???????????,?????? A ???? E,??????????
???

Chamomilla Recutita (Matricaria) Extract
Chamomile is a plant which has been known of since antiquity and was used by the
Egyptians as a febrifuge and to treat intestinal disorders.
????,????????????????????
The plant has an antispasmodic action and act as a decongestant, anti-inflammatory and
anti allergic elements.
???????????????,??????????????

Cucumis Sativus (Cucumber) Fruit Extract
The cucumber has a not inconsiderable cleansing action and is suitable for even the most
sensitive skin that do not tolerate soap.
???????????,???????????????????
Cucumber has been used for centuries as a calmative to ease minor burns and itching, and
a skin freshener and decongestant. It is also very soothing, moisturising, emollient and
softening. Its slightly astringent action is also suitable for greasy skin.
????????????,??????????, ???????????
???????????????????????????,????????
?,??????????????????????????

Aloe Barbadensis Leaf Juice
Aloe Vera improves hydration, is soothing and healing to all skin types. Chemical
analysis has shown the presence of mucopolysacharides, a natural moisturizing factor.
Aloe Vera is composed of water, the enzymes catalase and cellulose, minerals, calcium,
aluminium, iron, zinc, magnesium, sodium, 20 amino acids and carbohydrates. It has
renowned healing properties, anti-inflammatory and can soothe the skin and help heal
cuts, grazes, burns and insect bites. Its active constituents actually speed healing by
accelerating tissue repair and encouraging normal cell growth. These properties make it
ideal for use in skin care and cosmetic preparations on sunburns, acne dermatitis, and
otherwise sensitive and irritated skin.
?????,????,?????????????????????????
?????????????????,???????,?????????,
??????,?????????????????????????????
???????,??????????????,?????????????
??,?????????

Malva Sylvestris (Mallow) Extract
It is used as skin moisturizer and emollient. It has an antiphlogistic action and therefore
excellent for treating inflammations. Their softening and soothing properties have
enabled their use in after-sun products and creams for sensitive skins.
?????????????????,??????????????????
??????????????????????????

Mentha Piperita (Peppermint) Oil
Its anti- inflammatory cleansing properties make it the ideal ingredient in skincare and
cosmetic preparations for oily,?????,?????????????,????????,????,??
????????

Pelargonium Graveolens Flower Oil
Emotionally uplifting, harmonizing, balancing, soothing, calming. It relieves post natal
depression and menopause problems. Used in treating acne, dermatitis and eczema.
Suitable for all skin types especially mature, inflamed and oily skin.
????????,?????????????????,?????????
????,?????????,?????????????,?[??]???
?????????

Lavandula Angustifolia (Lavender) Oil
It is a popular and versatile essential oil. Lavender oil is highly regarded for its relaxing
effect on the nervous system, with an overall balancing effect on the mind and emotion. It
is used as a healing substance for wounds and burns. It is antiseptic, antibacterial and
anti-fungal. It also helps to reduce discoloration. It is also good for digestive system, the
respiratory tract and skin problems.
????????????????????????????????,???
????????????????????????????????????
???????????????????????????????????
As was believed in Ancient times, lavender is above all a calmative, anti-spasmodic
remedy. Lavender’s antiseptic qualities have been put to good use in surgery where it has
been used to heal various types of necrosis (infected wounds, ulcerated burn, etc).
????,???????????,???????????????????
???????(????,????)?
Used externally, lavender flower-based preparations are suitable for cleaning wounds and
sores, are antalgic in mouth infections and are calmative and refreshing on sun burns.
??,??????????????,???????????,??????
?????????",,140,,5,,,,,
Girasol,Intensive Cleansing Gel ,"This silky-soft facial wash gently and effectively foams away impurities and
dirt, leaving your skin smooth and clean. Its soothing formulation with
plants extract and essential oil helps calm visible redness, irritation skin
while preserving skin's moisture balance, leaves skin calm and refreshing
with supple complexion. The gentle formula leaves the skin perceptibly
clean, soft and supple, giving you a comfortable and healthy looking

complexion.

???????????????????????,??????
??????????????????????????????
???,???????????,??????????????
??????????????????????????????

?????",Cleanser,Normal,150ml,,,,"Chamomilla Recutita (Matricaria) Extract
Chamomile is a plant which has been known of since antiquity and was used by the
Egyptians as a febrifuge and to treat intestinal disorders.
????,????????????????????
The plant has an antispasmodic action and act as a decongestant, anti-inflammatory and
anti allergic elements.
???????????????,??????????????

Centaurea Cyanus Flower Extract
It is an astringent folk remedy that closes cutaneous pores, firms up and cleans the skin,
therefore can effectively reduce sebaceous secretions. It possesses decongestant and anti-
inflammatory properties.
???????,????????,???????,???????????
???????????????

Malva Sylvestris (Mallow) Extract
It is used as skin moisturizer and emollient. It has an antiphlogistic action and therefore
excellent for treating inflammations. Their softening and soothing properties have
enabled their use in after-sun products and creams for sensitive skins.
?????????????????,??????????????????
??????????????????????????

Cucumis Sativus (Cucumber) Fruit Extract
The cucumber has a not inconsiderable cleansing action and is suitable for even the most
sensitive skin that do not tolerate soap.
???????????,???????????????????
Cucumber has been used for centuries as a calmative to ease minor burns and itching, and
a skin freshener and decongestant. It is also very soothing, moisturising, emollient and
softening. Its slightly astringent action is also suitable for greasy skin.
????????????,??????????, ???????????
???????????????????????????,????????
?,??????????????????????????

Portulaca Oleracea Extract
The plant of Portulaca contains variety of nutrients such as vitamins, minerals, fatty acids
and others, plays a role as calming agent on the skin from irritation, allergy and itching, it
is also anti-inflammatory.
??????????????,?????????????????????
?????,??????????????????,??????????,
???????????????
The plant has the following qualities: ???????????:
? Hydrates the skin. ?????
? Alleviates the inflammation and is recommended for the management of inflamed
skin.
?????????????????
? Increases antioxidants in the skin cells and thus reduces free radical damage to the
skin.
???????????,??????????????
? It is safe for sensitive skin types.
?????????

Pelargonium Graveolens Flower Oil
Emotionally uplifting, harmonizing, balancing, soothing, calming. It relieves post natal
depression and menopause problems. Used in treating acne, dermatitis and eczema.
Suitable for all skin types especially mature, inflamed and oily skin.
????????,?????????????????,?????????
????,?????????,?????????????,?[??]???
?????????

Lavandula Angustifolia (Lavender) Oil
It is a popular and versatile essential oil. Lavender oil is highly regarded for its relaxing
effect on the nervous system, with an overall balancing effect on the mind and emotion. It
is used as a healing substance for wounds and burns. It is antiseptic, antibacterial and anti-fungal. It also helps to reduce discoloration. It is also good for digestive system, the
respiratory tract and skin problems.
????????????????????????????????,???
????????????????????????????????????
???????????????????????????????????

Mentha Piperita (Peppermint) Oil
Its anti- inflammatory cleansing properties make it the ideal ingredient in skincare and
cosmetic preparations for oily, acne-prone skin, though it is wonderfully toning and
cleansing for all skin types.
?????,?????????????,????????,????,??
????????

Citric Acid
It has been used extensively to adjust the pH level. It is said to have antioxidant
properties, protecting skin from damaging free radical activity. Citric acid is also used for
its astringent and skin lightening capabilities where it helps fade age spots.
??????? pH ????????,??????????????????
?????,????????",,130,,5,,,,,
Girasol,Intensive Soothing Toner,"This comforting toner is formulated to restore natural pH balance and
enhance the overall clarity of your skin. A botanical blend that includes
mallow, aloe, chamomile, & cucumber tones, nourishes & moisturizes,
while oleracea extract soothe naturally. Regular use may improve skin's

suppleness and texture.

??????????????????????????????
??????????????,??????,??,?????
????,?????,???????????????????

??????????????",Toner,,150ml,,,,"Hamamelis Virginiana (Witch Hazel) Extract
Its styptic properties make it as a remedy for damaged skin. This plant is also found in
make-up removers for its decongesting properties. Witch Hazel is also recommended for
slack epidermis with distended pores, mixed complexions, and sometimes for greasy
skins.
?????????,?????????,?????? ???????,?
????????????????

Chamomilla Recutita (Matricaria) Extract
Chamomile is a plant which has been known of since antiquity and was used by the
Egyptians as a febrifuge and to treat intestinal disorders.
????,????????????????????
The plant has an antispasmodic action and act as a decongestant, anti-inflammatory and
anti allergic elements.
???????????????,??????????????

Aloe Barbadensis Leaf Juice
Aloe Vera improves hydration, is soothing and healing to all skin types. Chemical
analysis has shown the presence of mucopolysacharides, a natural moisturizing factor.
Aloe Vera is composed of water, the enzymes catalase and cellulose, minerals, calcium,
aluminium, iron, zinc, magnesium, sodium, 20 amino acids and carbohydrates. It has
renowned healing properties, anti-inflammatory and can soothe the skin and help heal
cuts, grazes, burns and insect bites. Its active constituents actually speed healing by
accelerating tissue repair and encouraging normal cell growth. These properties make it ideal for use in skin care and cosmetic preparations on sunburns, acne dermatitis, and
otherwise sensitive and irritated skin.
?????,????,?????????????????????????
?????????????????,???????,?????????,
??????,?????????????????????????????
???????,??????????????,?????????????
??,?????????

Centaurea Cyanus Flower Extract
It is an astringent folk remedy that closes cutaneous pores, firms up and cleans the skin,

therefore can effectively reduce sebaceous secretions. It possesses decongestant and anti-
inflammatory properties.

???????,????????,???????,???????????
???????????????

Malva Sylvestris (Mallow) Extract
It is used as skin moisturizer and emollient. It has an antiphlogistic action and therefore
excellent for treating inflammations. Their softening and soothing properties have
enabled their use in after-sun products and creams for sensitive skins.
?????????????????,??????????????????
??????????????????????????

Cucumis Sativus (Cucumber) Fruit Extract
The cucumber has a not inconsiderable cleansing action and is suitable for even the most
sensitive skin that do not tolerate soap.???????????,???????????????????
Cucumber has been used for centuries as a calmative to ease minor burns and itching, and
a skin freshener and decongestant. It is also very soothing, moisturising, emollient and
softening. Its slightly astringent action is also suitable for greasy skin.
????????????,??????????, ???????????
???????????????????????????,????????
?,??????????????????????????

Tilia Cordata Extract
It is used internally for its antispasmodic, sudorific, stimulating, diuretic and sedative
benefits. Use externally for its lenitive (soothing), protecting and softening properties.
??????,??,??,?????????????,?????????
??

Hypericum Perforatum Extract
It has been used in the popular medicine for many years as a cure for wounds, urinary
infections and disorders affecting the nervous system.
Other therapeutic effects are: digestive (ulcer relief), regulation of the menstrual cycle,
diuretic, tension-lowering, antipyretic, anti-diarrhea, anti-hemorrhoids.
?????,??????????????????????
???????:??????(????) ,??????,??,????
??,??,???,???

Portulaca Oleracea Extract
The plant of Portulaca contains variety of nutrients such as vitamins, minerals, fatty acids
and others, plays a role as calming agent on the skin from irritation, allergy and itching, it
is also anti-inflammatory.
??????????????,?????????????????????
?????,??????????????????,??????????,
???????????????
The plant has the following qualities: ???????????:
? Hydrates the skin. ?????
? Alleviates the inflammation and is recommended for the management of inflamed
skin.
?????????????????
? Increases antioxidants in the skin cells and thus reduces free radical damage to the
skin.
???????????,??????????????
? It is safe for sensitive skin types.

Amyris Balsamifera Bark Oil
Strengthens belief, relaxing, helps in meditation, relieves tension and anxiety.
??????????????????????
It acts as hormone adjuster, help in Inflamed, cracked dry chapped skin, mature ageing
skin, acne, blemishes, healing to scars.
?????,????????,??????????,???????,??
?????, ????,????????????????????????
?,?????????????

Lavandula Angustifolia (Lavender) Oil
It is a popular and versatile essential oil. Lavender oil is highly regarded for its relaxing
effect on the nervous system, with an overall balancing effect on the mind and emotion. It
is used as a healing substance for wounds and burns. It is antiseptic, antibacterial and
anti-fungal. It also helps to reduce discoloration. It is also good for digestive system, the
respiratory tract and skin problems.
????????????????????????????????,???
????????????????????????????????????
???????????????????????????????????
As was believed in Ancient times, lavender is above all a calmative, anti-spasmodic
remedy. Lavender’s antiseptic qualities have been put to good use in surgery where it has
been used to heal various types of necrosis (infected wounds, ulcerated burn, etc).
????,???????????,???????????????????
???????(????,????)?
Used externally, lavender flower-based preparations are suitable for cleaning wounds and
sores, are antalgic in mouth infections and are calmative and refreshing on sun burns.
??,??????????????,???????????,??????
?????????",,108,,5,,,,,
